$OR;D2 
* From-Time  To-Time 
9162045 9162105 5
9162045 9162108 6
9162045 9162109 12
9162045 9162110 8
9162045 9162111 1
9162045 9162112 1
9162045 9162113 1
9162045 9162122 0
9162045 9162123 6
9162045 9162124 0
9162045 9162125 1
9162045 9162126 5
9162045 9162127 1
9162045 9162129 2
9162045 9162132 12
9162045 9162133 19
9162045 9162140 11
9162045 9162159 5
9162045 9162160 51
9162045 9162161 25
9162045 9162162 2
9162045 9162163 1
9162046 9162000 1
9162046 9162025 1
9162046 9162028 0
9162046 9162038 24
9162046 9162043 4
9162046 9162044 4
9162046 9162045 8
9162046 9162046 17
9162046 9162047 21
9162046 9162048 30
9162046 9162058 2
9162046 9162059 3
9162046 9162060 1
9162046 9162061 2
9162046 9162062 3
9162046 9162063 0
9162046 9162064 30
9162046 9162065 7
9162046 9162066 6
9162046 9162067 4
9162046 9162068 3
9162046 9162069 0
9162046 9162070 1
9162046 9162071 2
9162046 9162072 1
9162046 9162074 4
9162046 9162075 30
9162046 9162078 3
9162046 9162084 1
9162046 9162085 0
9162046 9162087 3
9162046 9162090 1
9162046 9162091 4
9162046 9162092 1
9162046 9162094 3
9162046 9162095 1
9162046 9162099 9
9162046 9162101 1
9162046 9162104 2
9162046 9162105 1
9162046 9162108 10
9162046 9162109 15
9162046 9162110 5
9162046 9162111 1
9162046 9162112 1
9162046 9162113 1
9162046 9162122 1
9162046 9162123 2
9162046 9162124 0
9162046 9162125 0
9162046 9162126 2
9162046 9162127 0
9162046 9162129 1
9162046 9162132 8
9162046 9162133 11
9162046 9162140 17
9162046 9162159 3
9162046 9162160 52
9162046 9162161 13
9162046 9162162 2
9162046 9162163 3
9162047 9162000 1
9162047 9162025 1
9162047 9162028 0
9162047 9162038 51
9162047 9162043 9
9162047 9162044 9
9162047 9162045 10
9162047 9162046 24
9162047 9162047 70
9162047 9162048 76
9162047 9162058 6
9162047 9162059 4
9162047 9162060 1
9162047 9162061 8
9162047 9162062 2
9162047 9162063 2
9162047 9162064 46
9162047 9162065 13
9162047 9162066 12
9162047 9162067 9
9162047 9162068 4
9162047 9162069 1
9162047 9162070 1
9162047 9162071 3
9162047 9162072 1
9162047 9162074 8
9162047 9162075 40
9162047 9162078 4
9162047 9162084 2
9162047 9162085 1
9162047 9162087 5
9162047 9162090 3
9162047 9162091 11
9162047 9162092 1
9162047 9162094 4
9162047 9162095 1
9162047 9162099 17
9162047 9162101 4
9162047 9162104 2
9162047 9162105 1
9162047 9162108 28
9162047 9162109 12
9162047 9162110 4
9162047 9162111 1
9162047 9162112 3
9162047 9162113 4
9162047 9162122 0
9162047 9162123 8
9162047 9162124 0
9162047 9162125 1
9162047 9162126 4
9162047 9162127 1
9162047 9162129 1
9162047 9162132 8
9162047 9162133 6
9162047 9162140 32
9162047 9162159 8
9162047 9162160 77
9162047 9162161 12
9162047 9162162 2
9162047 9162163 5
9162048 9162000 0
9162048 9162025 1
9162048 9162028 0
9162048 9162038 53
9162048 9162043 8
9162048 9162044 9
9162048 9162045 6
9162048 9162046 27
9162048 9162047 56
9162048 9162048 0
9162048 9162058 7
9162048 9162059 7
9162048 9162060 2
9162048 9162061 19
9162048 9162062 8
9162048 9162063 3
9162048 9162064 68
9162048 9162065 20
9162048 9162066 13
9162048 9162067 8
9162048 9162068 4
9162048 9162069 0
9162048 9162070 1
9162048 9162071 2
9162048 9162072 1
9162048 9162074 17
9162048 9162075 103
9162048 9162078 5
9162048 9162084 1
9162048 9162085 1
9162048 9162087 8
9162048 9162090 2
9162048 9162091 6
9162048 9162092 1
9162048 9162094 4
9162048 9162095 3
9162048 9162099 7
9162048 9162101 4
9162048 9162104 3
9162048 9162105 1
9162048 9162108 16
9162048 9162109 11
9162048 9162110 3
9162048 9162111 1
9162048 9162112 3
9162048 9162113 5
9162048 9162122 0
9162048 9162123 6
9162048 9162124 0
9162048 9162125 0
9162048 9162126 6
9162048 9162127 1
9162048 9162129 1
9162048 9162132 8
9162048 9162133 6
9162048 9162140 19
9162048 9162159 4
9162048 9162160 88
9162048 9162161 18
9162048 9162162 4
9162048 9162163 7
9162058 9162000 1
9162058 9162025 1
9162058 9162028 0
9162058 9162038 33
9162058 9162043 5
9162058 9162044 4
9162058 9162045 2
9162058 9162046 3
9162058 9162047 6
9162058 9162048 9
9162058 9162058 34
9162058 9162059 12
9162058 9162060 26
9162058 9162061 13
9162058 9162062 28
9162058 9162063 18
9162058 9162064 43
9162058 9162065 27
9162058 9162066 18
9162058 9162067 10
9162058 9162068 5
9162058 9162069 0
9162058 9162070 1
9162058 9162071 3
9162058 9162072 1
9162058 9162074 11
9162058 9162075 23
9162058 9162078 2
9162058 9162084 1
9162058 9162085 0
9162058 9162087 22
9162058 9162090 0
9162058 9162091 1
9162058 9162092 0
9162058 9162094 24
9162058 9162095 17
9162058 9162099 1
9162058 9162101 13
9162058 9162104 2
9162058 9162105 0
9162058 9162108 1
9162058 9162109 1
9162058 9162110 1
9162058 9162111 1
9162058 9162112 9
9162058 9162113 25
9162058 9162122 0
9162058 9162123 4
9162058 9162124 1
9162058 9162125 1
9162058 9162126 4
9162058 9162127 1
9162058 9162129 3
9162058 9162132 1
9162058 9162133 1
9162058 9162140 5
9162058 9162159 1
9162058 9162160 33
9162058 9162161 4
9162058 9162162 2
9162058 9162163 28
9162059 9162000 0
9162059 9162025 0
9162059 9162028 1
9162059 9162038 39
9162059 9162043 7
9162059 9162044 5
9162059 9162045 3
9162059 9162046 4
9162059 9162047 5
9162059 9162048 17
9162059 9162058 20
9162059 9162059 0
9162059 9162060 19
9162059 9162061 10
9162059 9162062 16
9162059 9162063 9
9162059 9162064 50
9162059 9162065 15
9162059 9162066 17
9162059 9162067 9
9162059 9162068 4
9162059 9162069 0
9162059 9162070 1
9162059 9162071 4
9162059 9162072 1
9162059 9162074 31
9162059 9162075 62
9162059 9162078 3
9162059 9162084 1
9162059 9162085 1
9162059 9162087 13
9162059 9162090 1
9162059 9162091 2
9162059 9162092 0
9162059 9162094 13
9162059 9162095 9
9162059 9162099 2
9162059 9162101 8
9162059 9162104 2
9162059 9162105 0
9162059 9162108 1
9162059 9162109 2
9162059 9162110 1
9162059 9162111 0
9162059 9162112 6
9162059 9162113 13
9162059 9162122 1
9162059 9162123 7
9162059 9162124 0
9162059 9162125 0
9162059 9162126 6
9162059 9162127 0
9162059 9162129 2
9162059 9162132 2
9162059 9162133 3
9162059 9162140 10
9162059 9162159 2
9162059 9162160 32
9162059 9162161 6
9162059 9162162 4
9162059 9162163 19
9162060 9162000 1
9162060 9162025 1
9162060 9162028 1
9162060 9162038 41
9162060 9162043 7
9162060 9162044 2
9162060 9162045 1
9162060 9162046 3
9162060 9162047 4
9162060 9162048 6
9162060 9162058 29
9162060 9162059 12
9162060 9162060 41
9162060 9162061 5
9162060 9162062 24
9162060 9162063 19
9162060 9162064 37
9162060 9162065 23
9162060 9162066 26
9162060 9162067 6
9162060 9162068 7
9162060 9162069 1
9162060 9162070 1
9162060 9162071 5
9162060 9162072 3
9162060 9162074 11
9162060 9162075 23
9162060 9162078 3
9162060 9162084 1
9162060 9162085 1
9162060 9162087 13
9162060 9162090 1
9162060 9162091 1
9162060 9162092 1
9162060 9162094 35
9162060 9162095 35
9162060 9162099 1
9162060 9162101 17
9162060 9162104 3
9162060 9162105 1
9162060 9162108 1
9162060 9162109 1
9162060 9162110 1
9162060 9162111 1
9162060 9162112 21
9162060 9162113 41
9162060 9162122 1
9162060 9162123 8
9162060 9162124 0
9162060 9162125 0
9162060 9162126 6
9162060 9162127 1
9162060 9162129 1
9162060 9162132 2
9162060 9162133 1
9162060 9162140 6
9162060 9162159 1
9162060 9162160 24
9162060 9162161 4
9162060 9162162 5
9162060 9162163 16
9162061 9162000 0
9162061 9162025 0
9162061 9162028 1
9162061 9162038 35
9162061 9162043 8
9162061 9162044 4
9162061 9162045 2
9162061 9162046 4
9162061 9162047 8
9162061 9162048 13
9162061 9162058 10
9162061 9162059 5
9162061 9162060 7
9162061 9162061 0
9162061 9162062 10
9162061 9162063 6
9162061 9162064 111
9162061 9162065 26
9162061 9162066 14
9162061 9162067 12
9162061 9162068 5
9162061 9162069 0
9162061 9162070 1
9162061 9162071 4
9162061 9162072 1
9162061 9162074 39
9162061 9162075 66
9162061 9162078 4
9162061 9162084 1
9162061 9162085 1
9162061 9162087 14
9162061 9162090 1
9162061 9162091 3
9162061 9162092 0
9162061 9162094 5
9162061 9162095 4
9162061 9162099 1
9162061 9162101 6
9162061 9162104 1
9162061 9162105 1
9162061 9162108 1
9162061 9162109 1
9162061 9162110 1
9162061 9162111 0
9162061 9162112 3
9162061 9162113 8
9162061 9162122 1
9162061 9162123 6
9162061 9162124 0
9162061 9162125 0
9162061 9162126 4
9162061 9162127 1
9162061 9162129 1
9162061 9162132 3
9162061 9162133 2
9162061 9162140 6
9162061 9162159 3
9162061 9162160 50
9162061 9162161 7
9162061 9162162 4
9162061 9162163 17
9162062 9162000 0
9162062 9162025 0
9162062 9162028 0
9162062 9162038 52
9162062 9162043 8
9162062 9162044 5
9162062 9162045 3
9162062 9162046 4
9162062 9162047 6
9162062 9162048 13
9162062 9162058 35
9162062 9162059 12
9162062 9162060 28
9162062 9162061 12
9162062 9162062 0
9162062 9162063 28
9162062 9162064 61
9162062 9162065 66
9162062 9162066 39
9162062 9162067 11
9162062 9162068 6
9162062 9162069 0
9162062 9162070 1
9162062 9162071 4
9162062 9162072 1
9162062 9162074 11
9162062 9162075 33
9162062 9162078 5
9162062 9162084 3
9162062 9162085 1
9162062 9162087 34
9162062 9162090 1
9162062 9162091 1
9162062 9162092 1
9162062 9162094 48
9162062 9162095 26
9162062 9162099 3
9162062 9162101 35
9162062 9162104 2
9162062 9162105 1
9162062 9162108 1
9162062 9162109 1
9162062 9162110 1
9162062 9162111 0
9162062 9162112 14
9162062 9162113 33
9162062 9162122 1
9162062 9162123 9
9162062 9162124 0
9162062 9162125 1
9162062 9162126 8
9162062 9162127 0
9162062 9162129 2
9162062 9162132 2
9162062 9162133 1
9162062 9162140 5
9162062 9162159 3
9162062 9162160 47
9162062 9162161 5
9162062 9162162 6
9162062 9162163 29
9162063 9162000 1
9162063 9162025 0
9162063 9162028 1
9162063 9162038 33
9162063 9162043 4
9162063 9162044 2
9162063 9162045 1
9162063 9162046 1
9162063 9162047 3
9162063 9162048 7
9162063 9162058 23
9162063 9162059 9
9162063 9162060 19
9162063 9162061 7
9162063 9162062 28
9162063 9162063 0
9162063 9162064 28
9162063 9162065 29
9162063 9162066 22
9162063 9162067 9
9162063 9162068 4
9162063 9162069 0
9162063 9162070 0
9162063 9162071 2
9162063 9162072 0
9162063 9162074 8
9162063 9162075 17
9162063 9162078 3
9162063 9162084 1
9162063 9162085 0
9162063 9162087 15
9162063 9162090 1
9162063 9162091 0
9162063 9162092 1
9162063 9162094 35
9162063 9162095 30
9162063 9162099 1
9162063 9162101 17
9162063 9162104 1
9162063 9162105 0
9162063 9162108 0
9162063 9162109 1
9162063 9162110 1
9162063 9162111 1
9162063 9162112 13
9162063 9162113 24
9162063 9162122 1
9162063 9162123 6
9162063 9162124 0
9162063 9162125 1
9162063 9162126 3
9162063 9162127 0
9162063 9162129 1
9162063 9162132 0
9162063 9162133 1
9162063 9162140 3
9162063 9162159 0
9162063 9162160 23
9162063 9162161 3
9162063 9162162 2
9162063 9162163 18
9162064 9162000 1
9162064 9162025 4
9162064 9162028 4
9162064 9162038 334
9162064 9162043 45
9162064 9162044 22
9162064 9162045 15
9162064 9162046 22
9162064 9162047 33
9162064 9162048 51
9162064 9162058 30
9162064 9162059 18
9162064 9162060 14
9162064 9162061 70
9162064 9162062 36
9162064 9162063 16
9162064 9162064 288
9162064 9162065 118
9162064 9162066 79
9162064 9162067 68
9162064 9162068 21
9162064 9162069 1
9162064 9162070 4
9162064 9162071 19
9162064 9162072 10
9162064 9162074 58
9162064 9162075 204
9162064 9162078 14
9162064 9162084 5
9162064 9162085 3
9162064 9162087 52
9162064 9162090 4
9162064 9162091 7
9162064 9162092 4
9162064 9162094 27
9162064 9162095 17
9162064 9162099 10
9162064 9162101 26
9162064 9162104 14
9162064 9162105 3
9162064 9162108 9
9162064 9162109 11
9162064 9162110 6
9162064 9162111 3
9162064 9162112 14
9162064 9162113 25
9162064 9162122 4
9162064 9162123 31
9162064 9162124 1
9162064 9162125 2
9162064 9162126 24
9162064 9162127 2
9162064 9162129 11
9162064 9162132 11
9162064 9162133 9
9162064 9162140 25
9162064 9162159 7
9162064 9162160 284
9162064 9162161 26
9162064 9162162 20
9162064 9162163 36
9162065 9162000 1
9162065 9162025 2
9162065 9162028 3
9162065 9162038 164
9162065 9162043 29
9162065 9162044 12
9162065 9162045 5
9162065 9162046 6
9162065 9162047 14
9162065 9162048 17
9162065 9162058 22
9162065 9162059 7
9162065 9162060 16
9162065 9162061 29
9162065 9162062 56
9162065 9162063 17
9162065 9162064 156
9162065 9162065 162
9162065 9162066 113
9162065 9162067 48
9162065 9162068 21
9162065 9162069 1
9162065 9162070 3
9162065 9162071 13
9162065 9162072 5
9162065 9162074 21
9162065 9162075 56
9162065 9162078 13
9162065 9162084 4
9162065 9162085 3
9162065 9162087 39
9162065 9162090 2
9162065 9162091 2
9162065 9162092 1
9162065 9162094 81
9162065 9162095 22
9162065 9162099 4
9162065 9162101 75
9162065 9162104 10
9162065 9162105 2
9162065 9162108 2
9162065 9162109 4
9162065 9162110 3
9162065 9162111 2
9162065 9162112 20
9162065 9162113 25
9162065 9162122 3
9162065 9162123 21
9162065 9162124 1
9162065 9162125 1
9162065 9162126 19
9162065 9162127 3
9162065 9162129 6
9162065 9162132 4
9162065 9162133 2
9162065 9162140 9
9162065 9162159 3
9162065 9162160 87
9162065 9162161 13
9162065 9162162 14
9162065 9162163 21
9162066 9162000 0
9162066 9162025 2
9162066 9162028 3
9162066 9162038 164
9162066 9162043 49
9162066 9162044 20
9162066 9162045 5
9162066 9162046 4
9162066 9162047 7
9162066 9162048 13
9162066 9162058 16
9162066 9162059 6
9162066 9162060 11
9162066 9162061 12
9162066 9162062 23
9162066 9162063 10
9162066 9162064 80
9162066 9162065 63
9162066 9162066 135
9162066 9162067 86
9162066 9162068 32
9162066 9162069 1
9162066 9162070 4
9162066 9162071 21
9162066 9162072 9
9162066 9162074 14
9162066 9162075 28
9162066 9162078 19
9162066 9162084 7
9162066 9162085 4
9162066 9162087 12
9162066 9162090 2
9162066 9162091 2
9162066 9162092 3
9162066 9162094 51
9162066 9162095 23
9162066 9162099 2
9162066 9162101 47
9162066 9162104 12
9162066 9162105 3
9162066 9162108 1
9162066 9162109 4
9162066 9162110 1
9162066 9162111 2
9162066 9162112 27
9162066 9162113 31
9162066 9162122 2
9162066 9162123 27
9162066 9162124 1
9162066 9162125 2
9162066 9162126 18
9162066 9162127 2
9162066 9162129 8
9162066 9162132 2
9162066 9162133 2
9162066 9162140 4
9162066 9162159 3
9162066 9162160 51
9162066 9162161 13
9162066 9162162 17
9162066 9162163 13
9162067 9162000 1
9162067 9162025 2
9162067 9162028 3
9162067 9162038 94
9162067 9162043 80
9162067 9162044 35
9162067 9162045 8
9162067 9162046 4
9162067 9162047 5
9162067 9162048 8
9162067 9162058 7
9162067 9162059 2
9162067 9162060 3
9162067 9162061 11
9162067 9162062 6
9162067 9162063 3
9162067 9162064 79
9162067 9162065 51
9162067 9162066 98
9162067 9162067 0
9162067 9162068 23
9162067 9162069 1
9162067 9162070 4
9162067 9162071 23
9162067 9162072 14
9162067 9162074 9
9162067 9162075 28
9162067 9162078 33
9162067 9162084 8
9162067 9162085 5
9162067 9162087 8
9162067 9162090 2
9162067 9162091 2
9162067 9162092 2
9162067 9162094 9
9162067 9162095 5
9162067 9162099 1
9162067 9162101 19
9162067 9162104 13
9162067 9162105 6
9162067 9162108 1
9162067 9162109 2
9162067 9162110 2
9162067 9162111 2
9162067 9162112 9
9162067 9162113 12
9162067 9162122 4
9162067 9162123 36
9162067 9162124 4
9162067 9162125 2
9162067 9162126 34
9162067 9162127 3
9162067 9162129 28
9162067 9162132 4
9162067 9162133 4
9162067 9162140 5
9162067 9162159 2
9162067 9162160 39
9162067 9162161 9
9162067 9162162 25
9162067 9162163 6
9162068 9162000 1
9162068 9162025 8
9162068 9162028 8
9162068 9162038 77
9162068 9162043 21
9162068 9162044 12
9162068 9162045 4
9162068 9162046 3
9162068 9162047 5
9162068 9162048 6
9162068 9162058 4
9162068 9162059 3
9162068 9162060 4
9162068 9162061 5
9162068 9162062 3
9162068 9162063 3
9162068 9162064 47
9162068 9162065 19
9162068 9162066 50
9162068 9162067 34
9162068 9162068 138
9162068 9162069 2
9162068 9162070 12
9162068 9162071 48
9162068 9162072 10
9162068 9162074 6
9162068 9162075 20
9162068 9162078 16
9162068 9162084 11
9162068 9162085 9
9162068 9162087 4
9162068 9162090 3
9162068 9162091 1
9162068 9162092 4
9162068 9162094 8
9162068 9162095 5
9162068 9162099 1
9162068 9162101 42
9162068 9162104 13
9162068 9162105 4
9162068 9162108 1
9162068 9162109 1
9162068 9162110 1
9162068 9162111 7
9162068 9162112 13
9162068 9162113 12
9162068 9162122 18
9162068 9162123 67
9162068 9162124 13
9162068 9162125 8
9162068 9162126 30
9162068 9162127 8
9162068 9162129 18
9162068 9162132 1
9162068 9162133 3
9162068 9162140 5
9162068 9162159 2
9162068 9162160 26
9162068 9162161 8
9162068 9162162 54
9162068 9162163 6
9162069 9162000 5
9162069 9162025 8
9162069 9162028 4
9162069 9162038 12
9162069 9162043 5
9162069 9162044 2
9162069 9162045 1
9162069 9162046 1
9162069 9162047 1
9162069 9162048 1
9162069 9162058 1
9162069 9162059 1
9162069 9162060 0
9162069 9162061 0
9162069 9162062 1
9162069 9162063 0
9162069 9162064 5
9162069 9162065 1
9162069 9162066 4
9162069 9162067 2
9162069 9162068 2
9162069 9162069 0
9162069 9162070 4
9162069 9162071 2
9162069 9162072 3
9162069 9162074 0
9162069 9162075 3
9162069 9162078 7
9162069 9162084 19
9162069 9162085 7
9162069 9162087 0
9162069 9162090 1
9162069 9162091 1
9162069 9162092 3
9162069 9162094 0
9162069 9162095 0
9162069 9162099 1
9162069 9162101 1
9162069 9162104 4
9162069 9162105 3
9162069 9162108 0
9162069 9162109 0
9162069 9162110 0
9162069 9162111 9
9162069 9162112 1
9162069 9162113 0
9162069 9162122 3
9162069 9162123 9
9162069 9162124 2
9162069 9162125 3
9162069 9162126 14
9162069 9162127 3
9162069 9162129 2
9162069 9162132 0
9162069 9162133 1
9162069 9162140 1
9162069 9162159 1
9162069 9162160 5
9162069 9162161 1
9162069 9162162 3
9162069 9162163 0
9162070 9162000 2
9162070 9162025 8
9162070 9162028 13
9162070 9162038 28
9162070 9162043 7
9162070 9162044 4
9162070 9162045 3
9162070 9162046 1
9162070 9162047 1
9162070 9162048 2
9162070 9162058 1
9162070 9162059 0
9162070 9162060 1
9162070 9162061 2
9162070 9162062 1
9162070 9162063 0
9162070 9162064 16
9162070 9162065 5
9162070 9162066 10
9162070 9162067 7
9162070 9162068 15
9162070 9162069 6
9162070 9162070 15
9162070 9162071 6
9162070 9162072 8
9162070 9162074 2
9162070 9162075 7
9162070 9162078 11
9162070 9162084 15
9162070 9162085 12
9162070 9162087 0
9162070 9162090 2
9162070 9162091 1
9162070 9162092 7
9162070 9162094 3
9162070 9162095 1
9162070 9162099 0
9162070 9162101 4
9162070 9162104 9
9162070 9162105 5
9162070 9162108 1
9162070 9162109 1
9162070 9162110 1
9162070 9162111 12
9162070 9162112 3
9162070 9162113 3
9162070 9162122 11
9162070 9162123 30
9162070 9162124 14
9162070 9162125 16
9162070 9162126 37
9162070 9162127 14
