o d t
4_3 7_2 1
4_3 8_4 2
4_3 8_9 3
4_3 9_11 0
4_3 9_7 3
4_7 12_5 1
4_7 13_16 2
4_7 14_7 7
4_7 15_14 2
4_7 16_10 0
4_7 16_11 17
4_7 17_12 0
4_7 17_6 1
4_7 20_10 29
4_7 21_10 1
4_7 22_11 1
4_7 3_12 10
4_7 4_3 10
4_7 4_7 0
4_7 5_11 0
4_7 5_3 3
4_7 6_0 30
4_7 6_14 17
4_7 6_5 3
4_7 7_2 1
4_7 8_4 2
4_7 8_9 6
4_7 9_11 1
4_7 9_7 5
5_11 12_5 2
5_11 13_16 54
5_11 14_7 1
5_11 15_14 2
5_11 16_10 4
5_11 16_11 1
5_11 17_12 24
5_11 17_6 7
5_11 20_10 1
5_11 21_10 7
5_11 22_11 5
5_11 3_12 5
5_11 4_3 0
5_11 4_7 4
5_11 5_11 0
5_11 5_3 2
5_11 6_0 6
5_11 6_14 1
5_11 6_5 1
5_11 7_2 3
5_11 8_4 1
5_11 8_9 1
5_11 9_11 11
5_11 9_7 2
5_3 12_5 15
5_3 13_16 3
5_3 14_7 2
5_3 15_14 1
5_3 16_10 2
5_3 16_11 1
5_3 17_12 26
5_3 17_6 5
5_3 20_10 1
5_3 21_10 2
5_3 22_11 6
5_3 3_12 3
5_3 4_3 1
5_3 4_7 4
5_3 5_11 0
5_3 5_3 0
5_3 6_0 12
5_3 6_14 0
5_3 6_5 3
5_3 7_2 4
5_3 8_4 27
5_3 8_9 13
5_3 9_11 2
5_3 9_7 3
6_0 12_5 1
6_0 13_16 1
6_0 14_7 0
6_0 15_14 3
6_0 16_10 1
6_0 16_11 1
6_0 17_12 0
6_0 17_6 8
6_0 20_10 14
6_0 21_10 4
6_0 22_11 2
6_0 3_12 24
6_0 4_3 12
6_0 4_7 8
6_0 5_11 41
6_0 5_3 1
6_0 6_0 0
6_0 6_14 2
6_0 6_5 0
6_0 7_2 4
6_0 8_4 6
6_0 8_9 0
6_0 9_11 1
6_0 9_7 1
6_14 12_5 3
6_14 13_16 14
6_14 14_7 9
6_14 15_14 0
6_14 16_10 7
6_14 16_11 1
6_14 17_12 0
6_14 17_6 2
6_14 20_10 1
6_14 21_10 2
6_14 22_11 2
6_14 3_12 2
6_14 4_3 2
6_14 4_7 0
6_14 5_11 3
6_14 5_3 3
6_14 6_0 1
6_14 6_14 0
6_14 6_5 5
6_14 7_2 1
6_14 8_4 1
6_14 8_9 2
6_14 9_11 0
6_14 9_7 1
6_5 12_5 1
6_5 13_16 5
6_5 14_7 1
6_5 15_14 5
6_5 16_10 2
6_5 16_11 0
6_5 17_12 3
6_5 17_6 5
6_5 20_10 1
6_5 21_10 1
6_5 22_11 1
6_5 3_12 2
6_5 4_3 7
6_5 4_7 34
6_5 5_11 2
6_5 5_3 11
6_5 6_0 9
6_5 6_14 3
6_5 6_5 0
6_5 7_2 1
6_5 8_4 1
6_5 8_9 30
6_5 9_11 6
6_5 9_7 2
7_2 12_5 1
7_2 13_16 0
7_2 14_7 15
7_2 15_14 1
7_2 16_10 16
7_2 16_11 0
7_2 17_12 15
7_2 17_6 12
7_2 20_10 5
7_2 21_10 0
7_2 22_11 23
7_2 3_12 4
7_2 4_3 7
7_2 4_7 1
7_2 5_11 0
7_2 5_3 4
7_2 6_0 10
7_2 6_14 5
7_2 6_5 1
7_2 7_2 0
7_2 8_4 0
7_2 8_9 0
7_2 9_11 1
7_2 9_7 1
8_4 12_5 2
8_4 13_16 6
8_4 14_7 1
8_4 15_14 9
8_4 16_10 45
8_4 16_11 2
8_4 17_12 16
8_4 17_6 14
8_4 20_10 6
8_4 21_10 1
8_4 22_11 2
8_4 3_12 5
8_4 4_3 1
8_4 4_7 1
8_4 5_11 4
8_4 5_3 1
8_4 6_0 8
8_4 6_14 3
8_4 6_5 0
8_4 7_2 0
8_4 8_4 0
8_4 8_9 0
8_4 9_11 6
8_4 9_7 69
8_9 12_5 3
8_9 13_16 7
8_9 14_7 1
8_9 15_14 2
8_9 16_10 4
8_9 16_11 3
8_9 17_12 0
8_9 17_6 4
8_9 20_10 3
8_9 21_10 30
8_9 22_11 10
8_9 3_12 2
8_9 4_3 11
8_9 4_7 2
8_9 5_11 1
8_9 5_3 13
8_9 6_0 4
8_9 6_14 1
8_9 6_5 1
8_9 7_2 1
8_9 8_4 1
8_9 8_9 0
8_9 9_11 8
8_9 9_7 24
9_11 12_5 5
9_11 13_16 0
9_11 14_7 12
9_11 15_14 7
9_11 16_10 16
9_11 16_11 14
9_11 17_12 0
9_11 17_6 2
9_11 20_10 3
9_11 21_10 2
9_11 22_11 1
9_11 3_12 0
9_11 4_3 3
9_11 4_7 5
9_11 5_11 5
9_11 5_3 1
9_11 6_0 3
9_11 6_14 5
9_11 6_5 6
9_11 7_2 14
9_11 8_4 1
9_11 8_9 3
9_11 9_11 0
9_11 9_7 4
9_7 12_5 9
9_7 13_16 8
9_7 14_7 9
9_7 15_14 3
9_7 16_10 2
9_7 16_11 3
9_7 17_12 1
9_7 17_6 3
9_7 20_10 6
9_7 21_10 7
9_7 22_11 2
9_7 3_12 19
9_7 4_3 1
9_7 4_7 0
9_7 5_11 5
9_7 5_3 0
9_7 6_0 4
9_7 6_14 0
9_7 6_5 2
9_7 7_2 0
9_7 8_4 9
9_7 8_9 5
9_7 9_11 2
9_7 9_7 0
